id,category,sub_category,brand,model,power,price,compatibility,ESD,link,image
90,tools,wick,2UUL,DW16,,$3-12,,OK,https://s.click.aliexpress.com/e/_c3yTd5pt,https://ae-pic-a1.aliexpress-media.com/kf/S3b889e05596241b58aedb30af9c3d60ca.png
91,tools,wick,RELIFE,,,$3-12,,OK,https://s.click.aliexpress.com/e/_c3nPOH6j,https://ae-pic-a1.aliexpress-media.com/kf/S446cb67c128344bda2d704f636463216g.jpg
92,tools,tips,OSS,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c3Xz1bNt,https://ae-pic-a1.aliexpress-media.com/kf/S84dffb64a8104dd0947cf8da8a9889cdb.jpg
93,tools,tips,OSS,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c3Xz1bNt,https://ae-pic-a1.aliexpress-media.com/kf/Se48c63d2f092400a855e4c79520e41c9D.jpg
94,tools,tips,OSS,C115,,$12-35,1.5,OK,https://s.click.aliexpress.com/e/_c3Xz1bNt,https://ae-pic-a1.aliexpress-media.com/kf/Sdd5df5e3f14646bc97d5eae867424258V.jpg
95,tools,tips,SIKO,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c4toTswP,https://ae-pic-a1.aliexpress-media.com/kf/S3d273109393a473e8183e8c3ac80c450j.jpg
96,tools,tips,SIKO,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c4toTswP,https://ae-pic-a1.aliexpress-media.com/kf/S82b73480f2e84e54a5305feb5bd99317S.jpg
97,tools,tips,KAISI,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c3G5WWUT,https://ae-pic-a1.aliexpress-media.com/kf/Sec887deecff043aa91265899c8bfa52eU.jpg
98,tools,tips,KAISI,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c3G5WWUT,https://ae-pic-a1.aliexpress-media.com/kf/S8d97812ba21947d28b6161da4c87b0d3Y.jpg
99,tools,tips,KAISI,C115,,$12-35,1.5,OK,https://s.click.aliexpress.com/e/_c3G5WWUT,https://ae-pic-a1.aliexpress-media.com/kf/Sb4de6efcfa244981b9dab3b94001c3f4o.jpg
100,tools,tips,GEEBOON,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c3sbZwyL,https://ae-pic-a1.aliexpress-media.com/kf/Sd8db2dd07eac48c6aedbf38c72c6c1fat.jpg
101,tools,tips,GEEBOON,C115,,$12-35,1.5,OK,https://s.click.aliexpress.com/e/_c3sbZwyL,https://ae-pic-a1.aliexpress-media.com/kf/Sd2188d9d2c8b43769733fa0e3aaa2c76u.jpg
102,tools,tips,MECHANIC,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c4SV5Cjp,https://ae-pic-a1.aliexpress-media.com/kf/Sc0dfcffd08c6437a9be49f4739da3c59R.jpg
103,tools,tips,MAGMA,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c4404b1D,https://ae-pic-a1.aliexpress-media.com/kf/Sa52cb5ab4c154dac90f058d3699b5048I.jpg
104,tools,tips,MAGMA,C115,,$12-35,1.5,OK,https://s.click.aliexpress.com/e/_c4404b1D,https://ae-pic-a1.aliexpress-media.com/kf/S03564eb9cc8f42e5ac2650005670807bO.jpg
105,tools,tips,unbranded,T12,,$8-25,1.2,OK,https://s.click.aliexpress.com/e/_c45F9w6J,https://ae-pic-a1.aliexpress-media.com/kf/Sf2eb17fb1c17411d8026db4b8e98b766a.jpg
106,tools,tips,GEEBOON,T12,,$8-25,1.2,OK,https://s.click.aliexpress.com/e/_c3hMS7CB,https://ae-pic-a1.aliexpress-media.com/kf/S39ae724e7e0647b99726383d8ab9576ay.jpg
107,tools,tips,unbranded,T12,,$8-25,1.2,OK,https://s.click.aliexpress.com/e/_c3OB5rYP,https://ae-pic-a1.aliexpress-media.com/kf/Sfcf218f1e96c4148bd6c6bce14d80f95E.jpg
108,tools,tips,HZY,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c3QCkI5V,https://ae-pic-a1.aliexpress-media.com/kf/S2606c9b3edb04998aaf3f80cfa901b53E.jpg
109,tools,tips,HZY,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c3ovlEP1,https://ae-pic-a1.aliexpress-media.com/kf/S110cecf1726a42158e576d61037e6747H.jpg
110,tools,tips,SUGON,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c3QC5oXZ,https://ae-pic-a1.aliexpress-media.com/kf/S49ddce55d63f4ff4909b246bc49bf95cJ.jpg
111,tools,tips,2UUL,C210,,$12-35,1.4,OK,https://s.click.aliexpress.com/e/_c3tNvswP,https://ae-pic-a1.aliexpress-media.com/kf/S501e21ab70b24bc9a39c9abb4361c8bdm.jpg
112,tools,tips,YIHUA,900M,,$5-15,1.3,OK,https://s.click.aliexpress.com/e/_c3AYjjE3,https://ae-pic-a1.aliexpress-media.com/kf/Sabb8f8514a95416d845d9f00f302ab55m.jpg
113,tools,tips,MECHANIC,900M,,$5-15,1.3,OK,https://s.click.aliexpress.com/e/_c4t587RH,https://ae-pic-a1.aliexpress-media.com/kf/Se8d9c4e329d24ce0a709cee65310f7d8b.jpg
114,tools,tips,MECHANIC,900M,,$5-15,1.3,OK,https://s.click.aliexpress.com/e/_c2J75mzl,https://ae-pic-a1.aliexpress-media.com/kf/S137ea9af81104267aecc80a8b994650eq.jpg
115,tools,tips,STONEGO,900M,,$5-15,1.3,OK,https://s.click.aliexpress.com/e/_c3Q1afiL,https://ae-pic-a1.aliexpress-media.com/kf/Acd4f61e6bf914a638f23b50d1dd06f2ay.jpg
116,tools,pump,JCD,,,$5-15,,OK,https://s.click.aliexpress.com/e/_c45uAlT5,https://ae-pic-a1.aliexpress-media.com/kf/S994f1a227d604b4f899498f956d48408F.jpg
117,tools,pump,unbranded,,,$5-15,,OK,https://s.click.aliexpress.com/e/_c3pN3Jvh,https://ae-pic-a1.aliexpress-media.com/kf/S92b935858cac41aaba5d7d6cd48a14155.jpg
118,tools,pump,RELIFE,,,$5-15,,OK,https://s.click.aliexpress.com/e/_c4d8YeeX,https://ae-pic-a1.aliexpress-media.com/kf/S95dbd1de7e6345b4914e7b60b96fb6d9v.jpg
119,tools,flux,MECHANIC,M35 NANO,,$5-15,,OK,https://s.click.aliexpress.com/e/_c3NbPFuR,https://ae-pic-a1.aliexpress-media.com/kf/S58891193d8f6433398db78955c259f89X.jpg
120,tools,flux,Kingbo,Rma-218,,$8-20,,OK,https://s.click.aliexpress.com/e/_c4bGnD1D,https://ae-pic-a1.aliexpress-media.com/kf/HTB16ELRdLWG3KVjSZPcq6zkbXXad.jpg
121,tools,flux,DSUNYK,NC-559-ASM,,$5-15,,OK,https://s.click.aliexpress.com/e/_c3xHzsPZ,https://ae-pic-a1.aliexpress-media.com/kf/Sbbb4a03f97014e5ba7ba7e9005ebebd1G.jpg
122,tools,flux,RELIFE,HW11,,$5-15,,OK,https://s.click.aliexpress.com/e/_c3uOIc5z,https://ae-pic-a1.aliexpress-media.com/kf/Sa058ffd14b69449ba1ed8cae2b0de189V.jpg
123,tools,flux,MECHANIC,UV559,,$5-15,,OK,https://s.click.aliexpress.com/e/_c2Q6ZzhZ,https://ae-pic-a1.aliexpress-media.com/kf/S4bd98a9de6344400a328c4d226848f3c1.jpg
124,tools,flux,Amtech,RMA-218,,$8-20,,OK,https://s.click.aliexpress.com/e/_c35ZtDhZ,https://ae-pic-a1.aliexpress-media.com/kf/S79705e6604be484bb8b0e991cf417f2cN.jpg
125,tools,flux,AMAOE,M53,,$5-15,,OK,https://s.click.aliexpress.com/e/_c3ChXuPt,https://ae-pic-a1.aliexpress-media.com/kf/S797b72041989434ba53a25f5807ac500z.jpg
126,tools,solder,RELIFE,RL-403,,$5-18,,OK,https://s.click.aliexpress.com/e/_c4rhKq9H,https://ae-pic-a1.aliexpress-media.com/kf/S3e69725dc4db4bd187e01c5897ab6a31a.jpg
127,tools,flux,2UUL,SC14,,$5-15,,OK,https://s.click.aliexpress.com/e/_c4CDf1tZ,https://ae-pic-a1.aliexpress-media.com/kf/S26356e887a21475ca88b25f388cf409d8.jpg
128,parts,PS5,GINFULL,RS13,,$12-30,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c3hP6BGP,https://ae-pic-a1.aliexpress-media.com/kf/Scc51b9bdf78c4524bbc8b1d4c83f56e3K.jpg
129,parts,PS4,K-SILVER,JS13 PRO+,,$12-30,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c3CNcqlV,https://ae-pic-a1.aliexpress-media.com/kf/S576cc1fc60404c1bb82adbe46f69b359F.jpg
130,parts,PS5,K-SILVER,JS13 PRO+,,$12-30,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c3CNcqlV,https://ae-pic-a1.aliexpress-media.com/kf/Sec81d0d080cd4879ba1b3ba45e3ebeb7I.jpg
131,parts,XBOX,K-SILVER,JS13 PRO+,,$12-30,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c3CNcqlV,https://ae-pic-a1.aliexpress-media.com/kf/Sc20b4f4013944106b18aa231ee355b60m.jpg
132,parts,Switch pro,K-SILVER,JS13 PRO+,,$12-30,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c3CNcqlV,https://ae-pic-a1.aliexpress-media.com/kf/S97b376d4cc1f4b64b1c6d46d317e13ccE.jpg
133,parts,PS4,TMR,,,$20-45,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c40qWskx,https://ae-pic-a1.aliexpress-media.com/kf/S9c8ee093d79944758fa482016f4321dfu.jpg
134,parts,PS5,TMR,,,$20-45,JOYSTICK,OK,https://s.click.aliexpress.com/e/_c40qWskx,https://ae-pic-a1.aliexpress-media.com/kf/S9c8ee093d79944758fa482016f4321dfu.jpg
