id,brand,model,sub_category,status,http_code,detail,link
12,ANENG,SL108,portable,ok,200,https://pt.aliexpress.com/item/1005011817583710.html?aff_fcid=2403cc93c22c48199027b098ca34ce4b-1786926668679-03527-_c4tJEpK3&tt=CPS_NORMAL&aff_fsk=_c4tJEpK3&aff_platform=shareComponent-detail&sk=_c4tJEpK3&aff_trace_key=2403cc93c22c48199027b098ca34ce4b-1786926668679-03527-_c4tJEpK3&terminal_id=de859bc355b244b1b005498580b72229&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c4tJEpK3
13,JCD,,iron,ok,200,https://pt.aliexpress.com/item/4000035268753.html?aff_fcid=d8da54da76f04853b089c8fae75c1251-1786926668679-02383-_c3KxYbgX&tt=CPS_NORMAL&aff_fsk=_c3KxYbgX&aff_platform=shareComponent-detail&sk=_c3KxYbgX&aff_trace_key=d8da54da76f04853b089c8fae75c1251-1786926668679-02383-_c3KxYbgX&terminal_id=df440689af6c48e0a97177f7b492a5c9&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3KxYbgX
14,SEQURE,SI012 Pro Max,portable,ok,200,https://pt.aliexpress.com/item/1005012790896615.html?aff_fcid=c214a5704344420e8d0114f3ee97e6e5-1786926668714-00932-_c3tfQvp1&tt=CPS_NORMAL&aff_fsk=_c3tfQvp1&aff_platform=shareComponent-detail&sk=_c3tfQvp1&aff_trace_key=c214a5704344420e8d0114f3ee97e6e5-1786926668714-00932-_c3tfQvp1&terminal_id=925ee795eb7d4eb0977d02ff7c51bd5b&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3tfQvp1
15,MINIWARE,TS21,portable,ok,200,https://pt.aliexpress.com/item/1005012781702410.html?aff_fcid=3337bd9a75e04f2e8da01196a9f09239-1786926668696-02990-_c3PA1MJD&tt=CPS_NORMAL&aff_fsk=_c3PA1MJD&aff_platform=shareComponent-detail&sk=_c3PA1MJD&aff_trace_key=3337bd9a75e04f2e8da01196a9f09239-1786926668696-02990-_c3PA1MJD&terminal_id=435ff4219dbb45f3ae87e40225d29ce8&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3PA1MJD
16,ANENG,SL106,iron,ok,200,https://pt.aliexpress.com/item/1005007473936967.html?aff_fcid=6232e34f56e44ff3b975fc96214444fe-1786926668715-04408-_c4bIfk5H&tt=CPS_NORMAL&aff_fsk=_c4bIfk5H&aff_platform=shareComponent-detail&sk=_c4bIfk5H&aff_trace_key=6232e34f56e44ff3b975fc96214444fe-1786926668715-04408-_c4bIfk5H&terminal_id=a75df262bffa4fde921e0929098efc9d&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c4bIfk5H
17,RELIFE,936,iron,ok,200,https://pt.aliexpress.com/item/1005008710218321.html?aff_fcid=0fd5216bc4884b83882d6edc80778108-1786926668755-02536-_c3g8l8gL&tt=CPS_NORMAL&aff_fsk=_c3g8l8gL&aff_platform=shareComponent-detail&sk=_c3g8l8gL&aff_trace_key=0fd5216bc4884b83882d6edc80778108-1786926668755-02536-_c3g8l8gL&terminal_id=77984dd1edc1458b9cec462012b6265e&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3g8l8gL
18,PS5,Joystick,tips,ok,200,https://pt.aliexpress.com/item/1005011666282296.html?aff_fcid=a3e931458e904bbca507dad5d6225a22-1786926668835-08400-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=a3e931458e904bbca507dad5d6225a22-1786926668835-08400-_c3IxbJP9&terminal_id=f553e48ba594414491ebb5f4c0d2da1d&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3IxbJP9
19,PS4,Joystick,tips,ok,200,https://pt.aliexpress.com/item/1005011666282296.html?aff_fcid=6af6772dfd9640ccb89de338423e28af-1786926668849-02923-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=6af6772dfd9640ccb89de338423e28af-1786926668849-02923-_c3IxbJP9&terminal_id=f92d34020f8c4ef98c8a288b7efd1ddc&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3IxbJP9
20,Switch Pro,Joystick,tips,ok,200,https://pt.aliexpress.com/item/1005011666282296.html?aff_fcid=5032771a5c584520964189d9935b6ece-1786926668886-03706-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=5032771a5c584520964189d9935b6ece-1786926668886-03706-_c3IxbJP9&terminal_id=1a51153d0809425c9db621d5bee3512a&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3IxbJP9
21,PS5,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=93cf336220384ac2b308f4d4554c96ba-1786926669131-06337-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=93cf336220384ac2b308f4d4554c96ba-1786926669131-06337-_c3IxbJP9&terminal_id=68365e07a3c9467683d06e7bfc2edf04&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
22,PS4,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=700b102f039a45ecb986e4b37361cbff-1786926669147-02596-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=700b102f039a45ecb986e4b37361cbff-1786926669147-02596-_c3IxbJP9&terminal_id=ac33250f7d05459696f62946f1ab4d4a&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
23,Switch Pro,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=3490143dad6642c4b2cd7a78eb25cf04-1786926669179-05576-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=3490143dad6642c4b2cd7a78eb25cf04-1786926669179-05576-_c3IxbJP9&terminal_id=aa32923935d243baa0065340a5d8357d&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
24,PS5,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=8c8fa6ce8c69417cb9ea501c15fffc74-1786926669177-01293-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=8c8fa6ce8c69417cb9ea501c15fffc74-1786926669177-01293-_c3IxbJP9&terminal_id=8428d09d63774497831989c4fc7e49e3&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
25,PS4,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=07339fd29bd74dafa1d99c8030a69d84-1786926669186-04383-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=07339fd29bd74dafa1d99c8030a69d84-1786926669186-04383-_c3IxbJP9&terminal_id=7e742207c3c940b0bf9748d503d2dfdd&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
