id,brand,model,sub_category,link,image
76,QUICKO,C245,tips,https://s.click.aliexpress.com/e/_c44dyQjh,images/products/76.jpg
77,YIHUA,982-I C245,station,https://s.click.aliexpress.com/e/_c3loDd8P,images/products/77.jpg
78,YIHUA,982-I C210,station,https://s.click.aliexpress.com/e/_c3loDd8P,images/products/78.jpg
79,GEEBOON,C245,tips,https://s.click.aliexpress.com/e/_c3bVqk9z,images/products/79.jpg
80,YIHUA,8786D,combo,https://s.click.aliexpress.com/e/_c3QTwgbv,images/products/80.jpg
81,YIHUA,938BD-II,combo,https://s.click.aliexpress.com/e/_c4OW37cX,images/products/81.jpg
82,,8898,combo,https://s.click.aliexpress.com/e/_c4N5k6fv,images/products/82.jpg
83,,8586,combo,https://s.click.aliexpress.com/e/_c3U3b7YP,images/products/83.jpg
84,JCB,8898,combo,https://s.click.aliexpress.com/e/_c35IMBJd,images/products/84.jpg
85,JCB,8586D,combo,https://s.click.aliexpress.com/e/_c4KUhtw7,images/products/85.jpg
86,Fengshengxin,,wick,https://s.click.aliexpress.com/e/_c45pxScx,images/products/86.png
87,MECHANIC,DW50,wick,https://s.click.aliexpress.com/e/_c3kggOPt,images/products/87.jpg
88,YCS,2015,wick,https://s.click.aliexpress.com/e/_c4P3ybaL,images/products/88.jpg
89,2UUL,DW21,wick,https://s.click.aliexpress.com/e/_c3vjdn4r,images/products/89.jpg
90,2UUL,DW16,wick,https://s.click.aliexpress.com/e/_c3yTd5pt,images/products/90.png
91,RELIFE,,wick,https://s.click.aliexpress.com/e/_c3nPOH6j,images/products/91.jpg
92,OSS,C245,tips,https://s.click.aliexpress.com/e/_c3Xz1bNt,images/products/92.jpg
93,OSS,C210,tips,https://s.click.aliexpress.com/e/_c3Xz1bNt,images/products/93.jpg
94,OSS,C115,tips,https://s.click.aliexpress.com/e/_c3Xz1bNt,images/products/94.jpg
95,SIKO,C245,tips,https://s.click.aliexpress.com/e/_c4toTswP,images/products/95.jpg
96,SIKO,C210,tips,https://s.click.aliexpress.com/e/_c4toTswP,images/products/96.jpg
97,KAISI,C245,tips,https://s.click.aliexpress.com/e/_c3G5WWUT,images/products/97.jpg
98,KAISI,C210,tips,https://s.click.aliexpress.com/e/_c3G5WWUT,images/products/98.jpg
99,KAISI,C115,tips,https://s.click.aliexpress.com/e/_c3G5WWUT,images/products/99.jpg
100,GEEBOON,C210,tips,https://s.click.aliexpress.com/e/_c3sbZwyL,images/products/100.jpg
101,GEEBOON,C115,tips,https://s.click.aliexpress.com/e/_c3sbZwyL,images/products/101.jpg
102,MECHANIC,C210,tips,https://s.click.aliexpress.com/e/_c4SV5Cjp,images/products/102.jpg
103,MAGMA,C210,tips,https://s.click.aliexpress.com/e/_c4404b1D,images/products/103.jpg
104,MAGMA,C115,tips,https://s.click.aliexpress.com/e/_c4404b1D,images/products/104.jpg
105,,T12,tips,https://s.click.aliexpress.com/e/_c45F9w6J,images/products/105.jpg
106,GEEBOON,T12,tips,https://s.click.aliexpress.com/e/_c3hMS7CB,images/products/106.jpg
107,,T12,tips,https://s.click.aliexpress.com/e/_c3OB5rYP,images/products/107.jpg
108,HZY,C245,tips,https://s.click.aliexpress.com/e/_c3QCkI5V,images/products/108.jpg
109,HZY,C210,tips,https://s.click.aliexpress.com/e/_c3ovlEP1,images/products/109.jpg
110,SUGON,C210,tips,https://s.click.aliexpress.com/e/_c3QC5oXZ,images/products/110.jpg
111,2UUL,C210,tips,https://s.click.aliexpress.com/e/_c3tNvswP,images/products/111.jpg
112,YIHUA,900M,tips,https://s.click.aliexpress.com/e/_c3AYjjE3,images/products/112.jpg
113,MECHANIC,900M,tips,https://s.click.aliexpress.com/e/_c4t587RH,images/products/113.jpg
114,MECHANIC,900M,tips,https://s.click.aliexpress.com/e/_c2J75mzl,images/products/114.jpg
115,STONEGO,900M,tips,https://s.click.aliexpress.com/e/_c3Q1afiL,images/products/115.jpg
116,JCD,,pump,https://s.click.aliexpress.com/e/_c45uAlT5,images/products/116.jpg
117,,,pump,https://s.click.aliexpress.com/e/_c3pN3Jvh,images/products/117.jpg
118,RELIFE,,pump,https://s.click.aliexpress.com/e/_c4d8YeeX,images/products/118.jpg
119,MECHANIC,M35 NANO,flux,https://s.click.aliexpress.com/e/_c3NbPFuR,images/products/119.jpg
120,Kingbo,Rma-218,flux,https://s.click.aliexpress.com/e/_c4bGnD1D,images/products/120.jpg
121,DSUNYK,NC-559-ASM,flux,https://s.click.aliexpress.com/e/_c3xHzsPZ,images/products/121.jpg
122,RELIFE,HW11,flux,https://s.click.aliexpress.com/e/_c3uOIc5z,images/products/122.jpg
123,MECHANIC,UV559,flux,https://s.click.aliexpress.com/e/_c2Q6ZzhZ,images/products/123.jpg
124,Amtech,RMA-218,flux,https://s.click.aliexpress.com/e/_c35ZtDhZ,images/products/124.jpg
125,AMAOE,M53,flux,https://s.click.aliexpress.com/e/_c3ChXuPt,images/products/125.jpg
126,RELIFE,RL-403,solder,https://s.click.aliexpress.com/e/_c4rhKq9H,images/products/126.jpg
